Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
laboureur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Paysan qui laboure les champs,,FN
laitier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Commerçant qui vend  du lait (et produits laitiers) ; employé qui transporte le lait,,FN
laryngologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Médecin spécialiste du larynx,,FN
latinisant,,,,,M,NP,,C,Dérivation,ant,N d'Agent,N de Pratique ,Celui qui pratique la langue et la culture latines,,FN
Lausannois,,,,,M,NP,,C,Dérivation,ois,N de Population (Gentilé), Ville,Habitant de ou originaire de Lausanne,,FN
leader,,,,,E,NP,,NC,Emprunt,NP,N d'Agent,N de Fonction,"Celui ou celle qui mène, qui commande un groupe de personnes",,FN
lèche-cul,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,personne caractérisée par sa flagornerie,,FN
Lesothan,,,,,M,NP,,C,Emprunt,NP,N de Population (Gentilé), Pays,Habitant ou originaire du Lesotho,,FN
Levalloisien,,,,,M,NP,,C,Dérivation,ien,N de Population (Gentilé), Ville,Habitant de ou originaire de Levallois,,FN
Levantin,,,,,M,NP,,C,Dérivation,in,N de Population (Gentilé),Région ,Originaire du Levant,,FN
lève-tard,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Pratique ,celui ou celle qui a l'habitude de se lever tard,,FN
lexicographe,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Celui ou celle dont la profession consiste à compiler des entrées de dictionnaire,,FN
lexicologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Spécialiste de lexicologie,,FN
libraire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Profession ,Celui ou celle qui gère une librairie,,FN
librettiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Celui ou celle qui écrit le livret d'un opéra,,FN
linguiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,,Personne qui étudie les langues,,JPM
locataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,N de Pratique ,Celui ou celle qui loue un logement,,FN
logeur,,,,,M,NP,,C,Dérivation,eur,N Relationnel ,,Celui qui possède un logement et  le met à disposition payante d'une autre personne,,FN
logisticien,,,,,M,NP,,C,Dérivation,ien,N d'Agent,N de Spécialité,celui qui s'occupe de logistique,,FN
Lombard,,,,,M,NP,,NC,NP,NP,N de Population (Gentilé),Région ,Habitant de la Lombardie,,FN
Lorrézien,,,,,M,NP,,C,Dérivation,ien,N de Population (Gentilé),Région ,Habitant de ou originaire de la Lorrèze,,FN
loueur,,,,,M,NP,,C,Dérivation,eur,N de Bénéficiaire,,celui qui loue du matériel,,FN
lugeur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Spécialité,sportif spécialiste de la luge,,FN
lunatique,,,,,E,NP,,C,Dérivation,NP,N de Caractérisant,N de Défaut moral,celui ou celle qui est caractérisé par un caractère instable,,FN
lunetier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,fabricant de lunettes,,FN
lutteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,sportif qui pratique la lutte,,FN
mâcheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui a l'habitude de mâcher quelque chose.,,IT
machiniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui conduit des machines industrielles,,IT
macriot,,,,,V,-/-e,,Autre,NP,ot,N d’Habitant,Région ,"Personne qui habite Jonchery-sur-Suippe, commune française située dans le département de la Marne.",,IT
mafieux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,,Personne qui fait parti de la Mafia,,IT
magasinier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,"Personne qui assure le stockage et la distribution de matières, de produits ou de pièces.",,IT
mage,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Pratique ,Personne qui pratique la magie.,,IT
magicien,,,,,V,-en/-enne,,NC,Dérivation,ien,N d'Agent,,Personne qui pratique la magie,,IT
mailleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,Personne qui fabrique des filets de pêche.,,IT
maire,,,,,M,NP,,NC,NP,NP,N de Statut,N de Fonction,"Le premier des magistrats municipaux, qui est l'organe exécutif de la commune.",,IT
maitre,,,,,V,-e/-esse,,NC,NP,NP,N de Statut,,Personne qui a un pouvoir de domination sur les êtres ou les choses.,,IT
maitre chanteur,,,,,M,NP,,C,Composition,NP,N d'Agent,,Personne qui exerce un chantage.,,IT
maitre d’hôtel,,,,,V,-e/-esse,,C,Composition,NP,N de Statut,N de Fonction, la personne qui est chargée de la coordination de l'ensemble du personnel de service,,IT
maitre nageur sauveteur,,,,,M,NP,,C,Composition,NP,N de Statut,N de Fonction,"Personne qui est diplômée d'État apte à enseigner la natation, le sauvetage et à assurer la sécurité des nageurs
",,IT
malade,,,,,E,NP,,C,Conversion,NP,N de Caractérisant,,personne qui souffre d'une maladie,,IT
malheureux,,,,,V,-eux/-euse,,C,Conversion,eux,N de Caractérisant,,Personne qui vit dans la misère,,IT
malletier,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Créateur,Personne qui fabrique ou vend des malles ou mallettes.,,IT
malteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui prépare le malt dans une malterie,,IT
manager,,,,,M,NP,,NC,Emprunt,NP,N d'Agent,N de Profession ,"Personne qui est formée à la direction, à l'administration d'une grande entreprise ou d'un secteur d'activité économique dont elle assure les responsabilités.",,IT
mandataire,,,,,E,NP,,C,Dérivation,aire,N de Statut,,Personne qui est chargée d'un mandat.,,IT
mangetout,,,,,M,NP,,C,Composition,NP,N de Caractérisant,,Personne qui coûte beaucoup d'argent.,,IT
mangeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"Personne qui mange, qui est en train de manger.",,IT
manifestant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,,Personne qui prend part à une manifestation.,,IT
manipulateur,,,,,V,-eur/-atrice,,C,Dérivation,teur,N de Caractérisant,,Personne qui manipule quelqu'un.,,IT
mannequin,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Profession ,Personne qui est habillée avec une élégance trop apprêtée,,IT
manuéliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui est auteur de manuels,,IT
maquettiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui chargée de créer et d'exécuter des maquettes,,IT
maquilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui est spécialiste en maquillage,,IT
maraudeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Personne qui maraude.,,IT
marbreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,Personne qui décore des papiers fantaisie en apposant des mélanges colorés qui produisent des effets de marbrures ou d'irisation. ,,IT
marchand,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Profession ,Personne dont la profession est d'acheter et de revendre des produits en en tirant un bénéfice.,,IT
marchandiseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui incite le consommateur à acheter les produits de la marque qu'il représente.,,IT
marcheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,"Personne qui marche, généralement bien et longtemps",,IT
mari,,,,,M,NP,,NC,NP,NP,N Relationnel ,,Homme uni à une femme par le mariage.,,IT
marié,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui vient de se marier,,IT
marin,,,,,M,NP,,C,Dérivation,in,N d'Agent,N de Profession ,"Personne qui, par profession, navigue et sert à bord d'un bâtiment de la marine marchande ou de l'État",,IT
marionnette,,,,,F,NP,,C,Dérivation,ette,N de Caractérisant,N de Défaut moral,"Personne qui n'a pas de caractère, qu'on manoeuvre à son gré, à qui l'on fait faire ce que l'on veut.",,IT
Marocain,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé), Pays,Personne qui vit au Maroc ou qui en est originaire.,,IT
marqueteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui fait de la marqueterie,,IT
marquis,,,,,M,NP,,NC,NP,NP,N de Statut,Titre,"Personne qui possède le titre de noblesse intermédiaire entre ceux de duc et de comte.
",,IT
Marseillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville, Personne qui est originaire de ou qui habite à Marseille.,,IT
masque,,,,,E,NP,,NC,NP,NP,N de Caractérisant,,"Personne qui a un comportement hypocrite ou un comportement affecté, manquant de naturel.",,IT
massacreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui massacre.,,IT
masseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui fait des massages.,,IT
matelot,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Profession ,Personne qui fait parti de l'équipage à bord d'un navire,,IT
mécatronicien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,"Personne qui conçoit des systèmes ""intelligents"" associant les technologies de l'électronique, de la mécanique, de l'informatique et des réseaux de communication.",,IT
médailleur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui grave les coins servant à fabriquer les médailles ou les monnaies.,,IT
médailliste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Artiste qui grave les coins des monnaies ou des médailles.,,IT
médecin,,,,,M,NP,,NC,NP,NP,N de Statut,N de Fonction,"Personne qui, titulaire du diplôme de docteur en médecine, exerce la médecine.",,IT
médialogue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui est spécialiste des médias,,MH
médiateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui intervient pour faciliter la communication entre des personnes,,MH
médiéviste,,,,,E,NP,,C,Dérivation,iste,N d’Âge,N de Spécialité,Personne qui est spécialiste du Moyen Âge,,MH
médisant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,,Personne qui médit ou qui a pour habitude de médire,,MH
méditateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,,Personne qui médite ou qui pratique la méditation,,MH
mélodiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui crée des mélodies,,MH
mélomane,,,,,E,NP,,C,Composition,NP,Autre,,Personne qui est passionnée de musique,,MH
membre du congrès,,,,,E,NP,,P,NP,NP,N de Statut,Membre,Personne qui siège au Congrès des États-Unis,,MH
mémorialiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui écrit des mémoires,,MH
mendiant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,,Personne qui mendie,,MH
meneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui mène ou qui prend l'initiative de quelque chose,,MH
menuisier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui travaille le bois,,MH
mère,,,,,F,NP,,NC,NP,NP,N Relationnel ,Parenté,Personne de sexe féminin qui a mis au monde ou élève/a élevé un enfant,,MH
messager,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,,Personne qui est chargée de remettre un message,,MH
métallurgiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui travaille le métal,,MH
météorologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui étudie la météorologie,,MH
metteur en scène,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,Personne qui est chargée de la mise en scène d'un spectacle ou d'un film,,MH
meurtrier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,Personne qui a commis un meurtre,Personne qui a commis un crime/un meurtre sans circonstance aggravante c'est-à-dire sans préméditation contrairement à l'assassin,MH
Mexicain,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé), Pays,Personne dont le pays d'origine est le Mexique,,IT
migrant,,,,,V,-/-e,,C,Dérivation,ant,N de Possesseur,,Personne qui se déplace d'un pays à un autre pour des raisons  économiques ou politiques.,,JPM
Milanais,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé), Ville,Personne qui habite Milan,,IT
milicien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Statut,Membre,Personne qui est membre d'une milice,,MH
militant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,,Personne qui milite ; personne qui défend activement une cause/une personne/des idées,,MH
milliardaire,,,,,E,NP,,C,Dérivation,aire,N de Possesseur,,Personne qui possède un ou plusieurs milliards,,MH
millionnaire,,,,,E,NP,,C,Dérivation,aire,N de Possesseur,,Personne qui possède un ou plusieurs millions,,MH
mime,,,,,E,NP,,C,Conversion,NP,N d'Agent,N d’Interprète,Personne qui mime ; personne dont le mode d'expression théâtral est le mime,,MH
ministre,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Fonction,Personne qui est chargée de remplir une fonction administrative à la tête d'un ministère,,MH
misanthrope,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,Personne qui hait le genre humain et se complaît dans la solitude,,MH
Missiriacois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite ou est originaire de Missiriac.,,MH
modérateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,N de Fonction,Personne qui modère ; personne qui contrôle les messages postés sur un forum/un site internet/un blog,,MH
modiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui crée ou confectionne des chapeaux,,MH
moine,,,,,V,Autre,moine/moniale,NC,NP,NP,N de Statut,Titre,Personne qui a prononcé des vœux religieux et vit généralement à l'écart du monde dans une communauté,,MH
moissonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui moissonne,,MH
monsieur,,,,,M,NP,,NC,NP,NP,N Général,,Personne de sexe masculin ; terme d'adresse employé par politesse souvent suivi du patronyme,,MH
morphologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui est spécialisée en linguistique et particulièrement en morphologie ; personne qui étudie la forme et le sens des mots construits,,MH
mosaïste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui crée des mosaïques,,MH
mots-croisiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui crée des grilles de mots-croisés,,MH
multirécidiviste,,,,,E,NP,,C,Autre,NP,N d'Agent,,Personne qui a commis plusieurs récidives ; personne qui a été condamnée à plusieurs reprises pour des crimes/délits ou contraventions,,MH
mycologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui est spécialisée dans l'étude des champignons/ de la mycologie,,MH
nacrier,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Profession ,Personne qui travaille la nacre (métier disparu),,JPM
nageur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui nage ou qui pratique la natation (en tant que sport par exemple),,JPM
Namibien,,,,,V,-/-e,,C,Dérivation,ien,N de Population (Gentilé), Pays,Personne originaire de (ou vivant en) Namibie,,JPM
nanti,,,,,V,-/-e,,NC,Conversion,NP,N de Patient/Déverbal passif,,Personne qui est bien pourvue (généralement en parlant d'argent),,JPM
narcisse,,,,,M,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,Personne qui s'admire constamment voire qui est éprise d'elle-même,,JPM
narrataire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Fonction,Personne ou instance à laquelle s'adresse le narrateur (dans le récit),,JPM
narrateur,,,,,V,-eur/-rice,,C,Dérivation,teur,N d'Agent,N de Fonction,Personne qui raconte une histoire  (désigne aussi l'instance narrative dans le récit),,JPM
nasilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,Personne qui nasille (qui parle du nez),,JPM
naturaliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne dont la spécialité est l'étude des sciences naturelles,,JPM
naturel,,,,,V,-el/-elle,,C,Dérivation,el,N de Caractérisant,,Personne originaire du lieu (autochtone ou indigène),,JPM
naufragé,,,,,V,-/-e,,NC,Conversion,é,N de Patient/Déverbal passif,,Personne qui a fait naufrage,,JPM
naufrageur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui provoque intentionnellement le naufrage ou la ruine d'un bateau ou d'une personne,,JPM
navigateur,,,,,V,-eur/-rice,,C,Dérivation,teur,N d'Agent,N de Profession ,Personne qui navigue sur les eaux en bateau (comme loisir ou comme sport),,JPM
nécessiteux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,,Personne qui vit dans le dénuement ou qui manque du nécessaire,,JPM
nécrologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui rédige ou prononce une ou des nécrologies,,JPM
nécromancien,,,,,V,-en/-enne,,C,Dérivation,en,N d'Agent,N de Pratique ,Personne qui pratique le spiritisme,,JPM
négociant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,N de Profession ,Personne qui fait le commerce ou la distribution de marchandises à grande échelle,,JPM
négociateur,,,,,V,-eur/-rice,,C,Dérivation,teur,N d'Agent,N de Spécialité,Personne qui a la charge de négocier un accord ou un contrat (par exemple un diplomate),,JPM
négrier,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Pratique ,Personne qui traite ses employés comme des esclaves ou qui fait le commerce des esclaves,,JPM
néologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Fonction,Personne qui emploie ou qui crée des néologismes,,JPM
néophyte,,,,,E,NP,,NC,NP,NP,N d’Adepte/de Partisan,N de Pratique ,Personne qui est novice dans une doctrine  ou un parti ou une association,,JPM
néphrologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne (médecin) spécialiste des troubles rénaux,,JPM
nettoyeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui nettoie (les vitres par exemples),,JPM
Neufchâtelois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne originaire de (ou vivant à) Neufchâtel (en France ou en Suisse),,JPM
neurobiologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne (médecin ou chercheur) spécialisé dans l'étude des  cellules ou des tissus nerveux,,JPM
neveu,,,,,M,NP,,NC,NP,NP,N Relationnel ,Parenté,"Personne qui est le fils du frère ou de la sœur, ou du beau-frère  ou de la belle-sœur",,JPM
névropathe,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,Personne qui souffre de troubles psychiques,,JPM
nez,,,,,M,NP,,NC,Conversion,NP,N d'Agent,N de Spécialité,Personne qui crée ou teste des parfums ou des vins,,JPM
nickeleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne (ouvrier) qui recouvre une surface d'une couche de nickel (afin de la protéger de l'usure ou de la corrosion),,JPM
Niçois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne originaire de (ou vivant) à Nice,,JPM
nielleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne (graveur ou orfèvre) qui fait des incrustations en nielles,,JPM
nitreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui manipule l’acide nitrique dans le processus de fabrication de la dynamite,,JPM
niveleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne (ouvrier) chargée de mettre le sol à niveau,,JPM
noble,,,,,E,NP,,NC,Conversion,NP,N de Statut,Titre,Personne qui fait partie de l'aristocratie,,JPM
noceur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui aime faire la fête voire qui mène une vie de débauche,,JPM
nomade,,,,,E,NP,,NC,NP,NP,N de Statut,,Personne qui n'a pas d’habitation fixe et qui se déplace en fonction de ses besoins,,JPM
nommé,,,,,V,-/-e,,NC,Conversion,é,N de Patient/Déverbal passif,,Personne qui est nommée  (à un poste par exemple) ou dont le nom est prononcé,,JPM
nonagénaire,,,,,E,NP,,C,Dérivation,aire,N d’Âge,,Personne qui a 90 ans ou dont l'âge est compris entre 90 et 99 ans,,JPM
nonne,,,,,F,NP,,NC,NP,NP,N de Statut,,Personne de sexe féminin entrée en religion (religieuse),,JPM
Nord-Américain,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé),,Personne originaire de (ou vivant en) Amérique du Nord,,JPM
notaire,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Profession ,Personne  (officier public) ayant la charge de recevoir ou authentifier ou d'archiver les  actes ou contrats  établis entre des parties ,,JPM
nourrice,,,,,F,NP,,NC,NP,NP,N d'Agent,N de Fonction,Personne chargée de nourrir (allaiter) un enfant ou dont la profession est de garder un ou des enfants,,JPM
nourrisson,,,,,M,NP,,NC,NP,NP,N d’Âge,,Personne (bébé) qui est nourri au sein ou au biberon (enfant de moins de deux ans),,JPM
nouveauné,,,,,M,NP,,C,Composition,NP,N d’Âge,,Personne (enfant) qui vient de naitre (bébé de moins d'un mois),,JPM
nouvelliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui écrit des nouvelles (récits littéraires courts),,JPM
novice,,,,,E,NP,,NC,NP,NP,N de Caractérisant,,Personne (religieux ou religieuse) qui n'a pas encore prononcé ses vœux ou personne  inexpérimentée dans un domaine,,JPM
noyé,,,,,V,-/-e,,NC,Conversion,NP,N de Patient/Déverbal passif,,Personne qui est morte noyée (par asphyxie dans un liquide),,JPM
nudiste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Personne qui vit nue (par choix de vie ou par philosophie),,JPM
Numide,,,,,E,NP,,NC,NP,NP,N de Population (Gentilé),,Personne originaire de (ou vivant en) Numidie,,JPM
nutritionniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne (parfois médecin) spécialiste des questions d'alimentation et de diététique,,JPM
oasien,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant,,personne qui habite dans une oasis,,LG
obérateur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,personne qui charge quelqu'un d'une lourde dette,,LG
objecteur,,,,,M,NP,,C,Dérivation,eur,N d’Adepte/de Partisan,,personne qui fait des objections,personne qui refuse d'accomplir son service militaire,LG
oblat,,,,,V,-/-e,,NC,NP,NP,N de Statut,Membre,personne qui appartient à un ordre religieux,,LG
oblateur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,personne qui fait une offrande,,LG
obscurci,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,N de Défaut moral,"personne qui est affaiblie physiquement, intellectuellement",,LG
obsédé,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,N de Défaut moral,personne qui est en proie à une obsession,,LG
observateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,N de Fonction,personne qui est chargée d'observer,,LG
obstétricien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Spécialité,personne qui est un médecin spécialisé en obstétrique,,LG
obtenteur,,,,,M,NP,,C,Dérivation,eur,N de Bénéficiaire,,personne qui obtient quelque chose,,LG
occupant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,,personne qui occupe un lieu,,LG
octevillais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant, Ville,personne qui habite  la ville d'Octeville,,LG
oculariste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,personne qui prépare des pièces pour prothèses oculaires,,LG
oculiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,personne qui est spécialiste de la médecine des yeux,,LG
offensé,,,,,V,-/-e,,C,Conversion,NP,N de Bénéficiaire,,personne qui a subi une offense,,LG
offenseur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,personne qui a offensé quelqu'un,,LG
officier,,,,,M,NP,,C,Dérivation,ier,N de Statut,Grade,personne qui est un membre d'une force armée ou d'un service public en uniforme qui détient une position d'autorité hiérarchique élevée ,,LG
officier de l'armée de l'air,,,,,M,NP,,P,NP,NP,N de Statut,Grade,personne qui détient un grade permettant d'exercer un commandement dans l'armée de l'air,,LG
officier de marine,,,,,M,NP,,P,NP,NP,N de Statut,Grade,personne qui détient un grade permettant d'exercer un commandement dans la marine,,LG
officier des compagnies républicaines de sécurité,,,,,M,NP,,P,NP,NP,N de Statut,Grade,personne qui détient un grade permettant d'exercer un commandement dans les compagnies républicaines de sécurité,,LG
offier de l'armée de terre,,,,,M,NP,,P,NP,NP,N de Statut,Grade,personne qui détient un grade permettant d'exercer un commandement dans l'armée de terre,,LG
offrant,,,,,M,NP,,C,Conversion,NP,N d'Agent,,personne qui fait une offre avantageuse (le plus offrant),,LG
offreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"personne qui offre un bien, un service",,LG
offsettiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,personne qui pratique le procédé d'impression offsett,,LG
ogre,,,,,V,-e/-esse,,NC,NP,NP,Autre,,personne mythique gigantesque qui mange les enfants,,LG
oiseleur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui capture les petits oiseaux,,LG
oiselier,,,,,V,Autre,-ier/-ière,C,Dérivation,ier,N d'Agent,N de Profession ,personne qui élève et vend des oiseaux,,LG
oisif,,,,,V,-f/-ve,,NC,NP,NP,N de Caractérisant,N de Défaut moral,personne qui n'a pas d'occupation,,LG
oléiculteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui cultive l'olivier,,LG
oliveur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui fait la cueillette des olives,,LG
omonvillais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant, Ville,personne qui habite la ville d'Omonville,,LG
oncle,,,,,M,NP,,NC,NP,NP,N Relationnel ,Parenté,personne qui est le frère du père ou de la mère,,LG
opérateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,N de Profession ,"personne réalisant des opérations, des manipulations",,LG
opérateur de cinéma,,,,,V,-eur/-rice,,P,NP,NP,N d'Agent,N de Profession ,personne qui est chargée de l'enregistrement des images dont elle assure le cadrage selon les directives du réalisateur. ,,LG
opérateur de colis à la poste,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui est chargée de la livraison des colis postaux,,LG
opérateur de fabrication,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui transforme les matières premières et produit fini,,LG
opérateur de fabrication en électronique,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui est chargée de la fabrication de matériels électroniques,,LG
opérateur de montage,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui effectue des opérations de montage ou d'assemblage plus ou moins complexes comme la charpente ou la chaudronnerie,,LG
opérateur en maintenance des véhicules,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui est chargée d'assurer l'entretien et la maintenance des véhicules,,LG
